成员名,摩点账号,摩点UID
陈观慧,SNH48_陈观慧应援会,1485197
陈思,有节操的DK,988407
成珏,SNH48成珏应援会,1604111
戴萌,SNH48戴萌应援会,991407
冯晓菲,SNH48冯晓菲应援会,1170704
蒋芸,SNH48蒋芸应援会,1452058
孔肖吟,SNH48孔肖吟应援会,986515
李宇琪,SNH48-李宇琪应援会,1186273
刘增艳,SNH48-刘增艳应援会,1171801
吕一,SNH48吕一应援会,1082202
莫寒,莫寒应援会,990040
潘燕琦,SNH48潘燕琦应援会,1535074
钱蓓婷,SNH48钱蓓婷应援会,1081356
邱欣怡,邱欣怡应援会,1078296
邵雪聪,邵雪聪应援会,987799
孙芮,SNH48-孙芮应援会,1086367
温晶婕,苔苔小聪明,1078429
吴哲晗,SNH48吴哲晗应援会,1073349
徐晨辰,SNH48徐_晨辰应援团,1079154
许佳琪,SNH48许佳琪应援会,1067442
徐伊人,SNH48徐伊人加油站,1189199
徐子轩,SNH48-徐子轩应援博,1105967
袁丹妮,SNH48袁丹妮应援会,1156063
袁雨桢,SNH48_袁雨桢应援会,1095343
张语格,SNH48张语格应援团,1157969
赵晔,SNH48赵晔应援会,1093167